City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,Buraydah,26.33,43.98,68,32,0,5.82,SA,10/30/2020
301,Caratinga,-19.79,-42.14,69.87,94,100,2.84,BR,10/30/2020
302,Teslic,44.61,17.86,48.2,100,90,4.7,BA,10/30/2020
303,Ngama,11.78,17.17,84.27,25,33,6.04,TD,10/30/2020
304,Ahipara,-35.17,173.17,63.75,78,100,9.64,NZ,10/30/2020
305,Trincomalee,8.57,81.23,85.26,68,60,12.71,LK,10/30/2020
306,Flinders,-34.58,150.86,66,80,80,7.54,AU,10/30/2020
307,Severo-Kurilsk,50.68,156.12,43.27,83,86,15.97,RU,10/30/2020
308,Marshall,34.38,-86.33,51.01,87,90,5.82,US,10/30/2020
309,Boyolangu,-8.12,111.89,87.76,61,49,7.36,ID,10/30/2020
310,Sompeta,18.93,84.6,85.53,50,53,10.18,IN,10/30/2020
311,Kargasok,59.06,80.86,28.58,97,79,2.26,RU,10/30/2020
312,Mount Isa,-20.73,139.5,98.6,7,0,11.41,AU,10/30/2020
313,Mar Del Plata,-38,-57.56,46,100,0,3.36,AR,10/30/2020
314,Mutis,6.23,-77.4,76.73,84,29,4.7,CO,10/30/2020
315,Ivolginsk,51.75,107.28,32,72,40,2.24,RU,10/30/2020
316,Kloulklubed,7.04,134.26,82.4,78,75,6.93,PW,10/30/2020
317,Richards Bay,-28.78,32.04,73.06,80,89,14.03,ZA,10/30/2020
318,Benjamin Constant,-4.38,-70.03,77,100,75,4.7,BR,10/30/2020
319,Lorengau,-2.02,147.27,86.25,64,70,5.88,PG,10/30/2020
320,Bonavista,48.65,-53.11,37.99,81,24,8.99,CA,10/30/2020
321,Novokizhinginsk,51.61,109.59,36.03,81,100,3.6,RU,10/30/2020
322,Ust-Nera,64.57,143.2,8.06,88,100,2.42,RU,10/30/2020
323,Katsuura,35.13,140.3,63,42,97,4,JP,10/30/2020
324,Kodiak,57.79,-152.41,28.4,79,1,6.93,US,10/30/2020
325,Marfino,55.7,37.38,41,70,90,6.71,RU,10/30/2020
326,Birao,10.28,22.79,77.72,51,26,3.47,CF,10/30/2020
327,Mayo,38.89,-76.51,53.01,92,90,6.93,US,10/30/2020
328,Vilyuysk,63.76,121.62,-0.4,90,32,2.48,RU,10/30/2020
329,Adrar,20.5,-10.07,77.18,18,100,7.76,MR,10/30/2020
330,Alta Floresta,-9.88,-56.09,72.03,95,97,3.11,BR,10/30/2020
331,Praia Da Vitoria,38.73,-27.07,69.8,83,40,7.54,PT,10/30/2020
332,Waipawa,-41.41,175.52,62.6,88,20,19.46,NZ,10/30/2020
333,Souillac,-20.52,57.52,75.99,49,14,15.99,MU,10/30/2020
334,Buala,-8.14,159.59,78.37,84,100,2.24,SB,10/30/2020
335,Paka,4.64,103.44,85.46,70,62,6.44,MY,10/30/2020
336,Vestmannaeyjar,63.44,-20.27,44.51,77,100,13.73,IS,10/30/2020
337,Gazojak,41.19,61.4,53.28,38,0,14.2,TM,10/30/2020
338,Nantucket,41.28,-70.1,48.99,87,90,26.4,US,10/30/2020
